animal,total_good,total_bad,ave_good,ave_bad,lb_score,type
1,276,24,46,4,92,w
2,280,20,46.66666666666667,3.3333333333333335,93.33333333333333,k
3,255,45,42.5,7.5,85,w
4,228,71,38,11.833333333333332,76.2541806020067,k
5,267,33,44.5,5.5,89,v
6,279,21,46.5,3.5,93,v
7,276,24,46,4,92,k
8,226,74,37.66666666666667,12.333333333333332,75.33333333333334,w
9,227,73,37.83333333333333,12.166666666666668,75.66666666666666,k
10(11),222,78,37,13,74,v
10*(10),252,48,42,8,84,w
12,247,53,41.166666666666664,8.833333333333334,82.33333333333333,v
14,251,49,41.83333333333333,8.166666666666668,83.66666666666666,k
15,277,23,46.16666666666667,3.8333333333333335,92.33333333333333,w
16,275,25,45.83333333333333,4.166666666666667,91.66666666666667,k
17,217,83,36.166666666666664,13.833333333333334,72.33333333333333,v
18,271,29,45.166666666666664,4.833333333333333,90.33333333333333,v
19,285,15,47.5,2.5,95,k
21,253,47,42.16666666666667,7.833333333333333,84.33333333333333,k
22,283,17,47.16666666666667,2.8333333333333335,94.33333333333333,w
23,255,45,42.5,7.5,85,v
24,273,27,45.5,4.5,91,v
25,281,19,46.833333333333336,3.166666666666667,93.66666666666667,w
26,219,81,36.5,13.5,73,k
27,291,9,48.5,1.5,97,w
28,248,52,41.333333333333336,8.666666666666666,82.66666666666667,k
29,237,61,39.5,10.166666666666666,79.53020134228188,v
30,263,36,43.83333333333333,6,87.95986622073578,v
31,263,37,43.833333333333336,6.166666666666667,87.66666666666667,w
32,232,68,38.666666666666664,11.333333333333334,77.33333333333333,w
